2theta,Intensity,Model,Residual,Background,hcp FeNiSi
22.80764893,1081.54126,1080.6876172338011,0.8536427661988455,1077.2561924022677,3.431424831533448
22.81501456,1081.49292,1080.641494910112,0.8514250898879254,1077.1484683911908,3.4930265189210914
22.82238018,1081.939819,1080.5971103848522,1.3427086151477852,1077.040812090371,3.5562982944812007
22.8297458,1081.404053,1080.5545231492724,0.8495298507275493,1076.9332233535108,3.6212997957616206
22.83711142,1081.726318,1080.5137953571857,1.2125226428142923,1076.82570218061,3.6880931765755647
22.84447704,1081.315063,1080.4749918935192,0.8400711064807638,1076.7182485716685,3.756743321850678
22.85184267,1082.1879880000001,1080.4381804656111,1.7498075343889923,1076.6108623809387,3.827318084672464
22.85920829,1081.090454,1080.403431948357,0.6870220516429981,1076.5035439000078,3.8998880483490477
22.86657391,1080.655884,1080.3708202406574,0.28506375934261996,1076.3962929830363,3.9745272576209416
22.87393953,1080.449341,1080.3404226336595,0.10891836634050378,1076.2891096300243,4.051313003635287
22.88130516,1081.449951,1080.3123198979938,1.137631102006253,1076.1819936955908,4.13032620240304
22.88867078,1082.395508,1080.2865966186573,2.1089113813427502,1076.0749454705892,4.2116511480680545
22.8960364,1082.979248,1080.263341162136,2.7159068378641678,1075.967964809547,4.295376352588926
22.90340202,1082.804443,1080.242646040013,2.5617969599870776,1075.8610517124644,4.38159432754846
22.91076764,1082.232544,1080.224608089226,2.0079359107739947,1075.7542061793408,4.470401909885244
22.91813327,1081.047729,1080.2093286862375,0.8384003137623495,1075.6474280652546,4.561900620982976
22.92549889,1080.602539,1080.1969140730862,0.40562492691378793,1075.5407176601418,4.656196412944433
22.93286451,1080.416382,1080.1874754941543,0.22890650584577088,1075.4340748189884,4.753400675166062
22.94023013,1081.693481,1080.1811295600519,1.5123514399481337,1075.3274995417942,4.853630018257646
22.94759575,1082.029785,1080.1779985184721,1.8517864815278244,1075.2209918285598,4.957006689912219
22.95496138,1082.5039060000001,1080.178210567801,2.3256954321991543,1075.1145515348207,5.063659032980229
22.962327,1081.268677,1080.181900181009,1.0867768189909839,1075.0081789495966,5.173721231412492
22.96969262,1080.118408,1080.189208456299,-0.07080045629891174,1074.901873928332,5.287334527967064
22.97705824,1079.2771,1080.2002834907094,-0.9231834907093344,1074.7956364710267,5.404647019682592
22.98442387,1079.0196529999998,1080.2152807932312,-1.1956277932313242,1074.6894664335841,5.525814359647074
22.99178949,1078.581543,1080.2343636133994,-1.652820613399399,1074.5833641042893,5.650999509109977
22.99915511,1078.239624,1080.2577035030379,-2.018079503037825,1074.477329338954,5.780374164083942
23.00652073,1078.639038,1080.2854807062558,-1.6464427062558116,1074.371362137578,5.9141185686779325
23.01388635,1078.314941,1080.317884670321,-2.002943670320974,1074.2654625001612,6.052422170159897
23.02125198,1078.685181,1080.355114621563,-1.6699336215629046,1074.159630283066,6.1954843384970015
23.0286176,1078.7811279999999,1080.3973799089115,-1.6162519089116358,1074.0538657736602,6.343514135251325
23.03598322,1078.860352,1080.4449008906495,-1.5845488906495575,1073.9481688282133,6.496732062436195
23.04334884,1078.865601,1080.497909356162,-1.632308356161957,1073.842539446726,6.655369909435978
23.05071446,1079.373657,1080.5566492247906,-1.182992224790496,1073.7369776291982,6.819671595592269
23.05808009,1079.9650880000002,1080.621377325493,-0.656289325492935,1073.6314832324504,6.98989409304274
23.06544571,1080.4279789999998,1080.6923637621296,-0.26438476212979367,1073.526056542933,7.1663072191965345
23.07281133,1080.554932,1080.7698932034798,-0.2149612034797883,1073.420697417375,7.349195786104767
23.08017695,1080.863892,1080.8542653430266,0.009626656973523495,1073.3154058557766,7.53885948724989
23.08754258,1080.519775,1080.9457959549802,-0.4260209549802312,1073.2101817153248,7.735614239655504
23.0949082,1079.830322,1081.0448172713234,-1.2144952713233579,1073.1050252817367,7.939791989586744
23.10227382,1079.54187,1081.1516796513388,-1.6098096513387645,1072.9999364121081,8.151743239230546
23.10963944,1080.19397,1081.26675205988,-1.0727820598799553,1072.894915106439,8.371836953440969
