PHOENIX module phox; 01/23/18 at 16:23:51 -08:00
energy (meV),data without elastic peak,error of data without elastic peak
 2.15010E+01, 2.00484E+02, 1.39058E+01
 2.17487E+01, 1.92872E+02, 1.42086E+01
 2.19964E+01, 1.96806E+02, 1.39271E+01
 2.22441E+01, 2.05373E+02, 1.47699E+01
 2.24918E+01, 1.97034E+02, 1.34808E+01
 2.27395E+01, 1.85788E+02, 1.40141E+01
 2.29873E+01, 1.96146E+02, 1.48747E+01
 2.32350E+01, 2.24659E+02, 1.47464E+01
 2.34827E+01, 2.19371E+02, 1.56477E+01
 2.37304E+01, 2.47978E+02, 1.57076E+01
 2.39781E+01, 2.38243E+02, 1.55722E+01
 2.42258E+01, 2.46807E+02, 1.55974E+01
 2.44736E+01, 2.27836E+02, 1.45480E+01
 2.47213E+01, 2.26078E+02, 1.62050E+01
 2.49690E+01, 2.69168E+02, 1.68441E+01
 2.52167E+01, 2.87082E+02, 1.67684E+01
 2.54644E+01, 2.65310E+02, 1.61539E+01
 2.57121E+01, 2.60733E+02, 1.66916E+01
 2.59599E+01, 2.78607E+02, 1.65773E+01
 2.62076E+01, 2.64697E+02, 1.59952E+01
 2.64553E+01, 2.60332E+02, 1.66041E+01
 2.67030E+01, 2.47484E+02, 1.45363E+01
 2.69507E+01, 2.15297E+02, 1.53222E+01
 2.71984E+01, 2.31065E+02, 1.53483E+01
 2.74462E+01, 2.35469E+02, 1.54437E+01
 2.76939E+01, 2.39212E+02, 1.55631E+01
 2.79416E+01, 2.33487E+02, 1.51995E+01
 2.81893E+01, 2.26584E+02, 1.48745E+01
 2.84370E+01, 2.06889E+02, 1.47955E+01
 2.86847E+01, 2.06304E+02, 1.35108E+01
 2.89325E+01, 1.98684E+02, 1.47393E+01
 2.91802E+01, 1.96768E+02, 1.36620E+01
 2.94279E+01, 1.76222E+02, 1.36103E+01
 2.96756E+01, 1.84771E+02, 1.33317E+01
 2.99233E+01, 1.87966E+02, 1.40730E+01
 3.01710E+01, 1.80584E+02, 1.32630E+01
 3.04188E+01, 1.80312E+02, 1.40054E+01
 3.06665E+01, 1.90405E+02, 1.36832E+01
 3.09142E+01, 1.84166E+02, 1.34908E+01
 3.11619E+01, 1.64290E+02, 1.23531E+01
